城市,标题,标题链接,薪资,公司名称,公司性质,公司规模,行业领域,采集时的时间
上海,数据分析师-000,https://jobs.example.com/shanghai/900000.html,8-14K,示例科技00有限公司,民营,50-150人,互联网,2026-06-01 09:00:00
上海,数据清洗工程师-010,https://jobs.example.com/shanghai/900010.html,10-14K,示例科技10有限公司,上市公司,500-1000人,互联网,2026-06-01 19:00:00
上海,HR数据顾问-020,https://jobs.example.com/shanghai/900020.html,12-14K,示例科技02有限公司,民营,50-150人,互联网,2026-06-02 05:00:00
上海,Python工程师-030,https://jobs.example.com/shanghai/900030.html,14-14K,示例科技12有限公司,上市公司,500-1000人,互联网,2026-06-02 15:00:00
上海,爬虫工程师-040,https://jobs.example.com/shanghai/900040.html,8-14K,示例科技04有限公司,民营,50-150人,互联网,2026-06-03 01:00:00
上海,招聘运营专员-050,https://jobs.example.com/shanghai/900049.html,10-14K,示例科技14有限公司,上市公司,500-1000人,互联网,2026-06-03 11:00:00
上海,BI分析师-060,https://jobs.example.com/shanghai/900060.html,12-14K,示例科技06有限公司,民营,50-150人,互联网,2026-06-03 21:00:00
上海,数据分析师-070,https://jobs.example.com/shanghai/900070.html,14-14K,示例科技16有限公司,上市公司,500-1000人,互联网,2026-06-04 07:00:00
上海,数据清洗工程师-080,https://jobs.example.com/shanghai/900080.html,8-14K,示例科技08有限公司,民营,50-150人,互联网,2026-06-04 17:00:00
上海,HR数据顾问-090,https://jobs.example.com/shanghai/900090.html,10-14K,示例科技00有限公司,上市公司,500-1000人,互联网,2026-06-05 03:00:00
上海,Python工程师-100,https://jobs.example.com/shanghai/900100.html,12-14K,示例科技10有限公司,民营,50-150人,互联网,2026-06-05 13:00:00
北京,招聘运营专员-001,https://jobs.example.com/beijing/900001.html,9-15K,示例科技01有限公司,合资,150-500人,企业服务,2026-06-01 10:00:00
北京,BI分析师-011,https://jobs.example.com/beijing/900011.html,11-15K,示例科技11有限公司,外企,1000人以上,企业服务,2026-06-01 20:00:00
北京,数据分析师-021,https://jobs.example.com/beijing/900021.html,13-15K,示例科技03有限公司,合资,150-500人,企业服务,2026-06-02 06:00:00
北京,数据清洗工程师-031,https://jobs.example.com/beijing/900031.html,15-15K,示例科技13有限公司,外企,1000人以上,企业服务,2026-06-02 16:00:00
北京,HR数据顾问-041,https://jobs.example.com/beijing/900041.html,9-15K,示例科技05有限公司,合资,150-500人,企业服务,2026-06-03 02:00:00
北京,Python工程师-051,https://jobs.example.com/beijing/900051.html,11-15K,示例科技15有限公司,外企,1000人以上,企业服务,2026-06-03 12:00:00
北京,爬虫工程师-061,https://jobs.example.com/beijing/900061.html,13-15K,示例科技07有限公司,合资,150-500人,企业服务,2026-06-03 22:00:00
北京,招聘运营专员-071,https://jobs.example.com/beijing/900071.html,15-15K,示例科技17有限公司,外企,1000人以上,企业服务,2026-06-04 08:00:00
北京,BI分析师-081,https://jobs.example.com/beijing/900081.html,9-15K,示例科技09有限公司,合资,150-500人,企业服务,2026-06-04 18:00:00
北京,数据分析师-091,https://jobs.example.com/beijing/900091.html,11-15K,示例科技01有限公司,外企,1000人以上,企业服务,2026-06-05 04:00:00
北京,数据清洗工程师-101,https://jobs.example.com/beijing/900101.html,13-15K,示例科技11有限公司,合资,150-500人,企业服务,2026-06-05 14:00:00
南京,爬虫工程师-005,https://jobs.example.com/nanjing/900005.html,13-19K,示例科技05有限公司,合资,150-500人,互联网,2026-06-01 14:00:00
南京,招聘运营专员-015,https://jobs.example.com/nanjing/900015.html,15-19K,示例科技15有限公司,外企,1000人以上,互联网,2026-06-02 00:00:00
南京,BI分析师-025,https://jobs.example.com/nanjing/900024.html,9-19K,示例科技07有限公司,合资,150-500人,互联网,2026-06-02 10:00:00
南京,数据分析师-035,https://jobs.example.com/nanjing/900035.html,11-19K,示例科技17有限公司,外企,1000人以上,互联网,2026-06-02 20:00:00
南京,数据清洗工程师-045,https://jobs.example.com/nanjing/900045.html,13-19K,示例科技09有限公司,合资,150-500人,互联网,2026-06-03 06:00:00
南京,HR数据顾问-055,https://jobs.example.com/nanjing/900055.html,15-19K,示例科技01有限公司,外企,1000人以上,互联网,2026-06-03 16:00:00
南京,Python工程师-065,https://jobs.example.com/nanjing/900065.html,9-19K,示例科技11有限公司,合资,150-500人,互联网,2026-06-04 02:00:00
南京,爬虫工程师-075,https://jobs.example.com/nanjing/900074.html,11-19K,示例科技03有限公司,外企,1000人以上,互联网,2026-06-04 12:00:00
南京,招聘运营专员-085,https://jobs.example.com/nanjing/900085.html,13-19K,示例科技13有限公司,合资,150-500人,互联网,2026-06-04 22:00:00
南京,BI分析师-095,https://jobs.example.com/nanjing/900095.html,15-19K,示例科技05有限公司,外企,1000人以上,互联网,2026-06-05 08:00:00
天津,Python工程师-009,https://jobs.example.com/tianjin/900009.html,9-23K,示例科技09有限公司,合资,150-500人,教育科技,2026-06-01 18:00:00
天津,爬虫工程师-019,https://jobs.example.com/tianjin/900019.html,11-23K,示例科技01有限公司,外企,1000人以上,教育科技,2026-06-02 04:00:00
天津,招聘运营专员-029,https://jobs.example.com/tianjin/900029.html,13-23K,示例科技11有限公司,合资,150-500人,教育科技,2026-06-02 14:00:00
天津,BI分析师-039,https://jobs.example.com/tianjin/900039.html,15-23K,示例科技03有限公司,外企,1000人以上,教育科技,2026-06-03 00:00:00
天津,数据清洗工程师-059,https://jobs.example.com/tianjin/900059.html,11-23K,示例科技05有限公司,外企,1000人以上,教育科技,2026-06-03 20:00:00
天津,HR数据顾问-069,https://jobs.example.com/tianjin/900069.html,13-23K,示例科技15有限公司,合资,150-500人,教育科技,2026-06-04 06:00:00
天津,Python工程师-079,https://jobs.example.com/tianjin/900079.html,15-23K,示例科技07有限公司,外企,1000人以上,教育科技,2026-06-04 16:00:00
天津,爬虫工程师-089,https://jobs.example.com/tianjin/900089.html,9-23K,示例科技17有限公司,合资,150-500人,教育科技,2026-06-05 02:00:00
天津,招聘运营专员-099,https://jobs.example.com/tianjin/900099.html,11-23K,示例科技09有限公司,外企,1000人以上,教育科技,2026-06-05 12:00:00
广州,招聘运营专员-008,https://jobs.example.com/guangzhou/900008.html,8-22K,示例科技08有限公司,民营,50-150人,金融科技,2026-06-01 17:00:00
广州,BI分析师-018,https://jobs.example.com/guangzhou/900018.html,10-22K,示例科技00有限公司,上市公司,500-1000人,金融科技,2026-06-02 03:00:00
广州,数据分析师-028,https://jobs.example.com/guangzhou/900028.html,12-22K,示例科技10有限公司,民营,50-150人,金融科技,2026-06-02 13:00:00
广州,数据清洗工程师-038,https://jobs.example.com/guangzhou/900038.html,14-22K,示例科技02有限公司,上市公司,500-1000人,金融科技,2026-06-02 23:00:00
广州,HR数据顾问-048,https://jobs.example.com/guangzhou/900048.html,8-22K,示例科技12有限公司,民营,50-150人,金融科技,2026-06-03 09:00:00
广州,Python工程师-058,https://jobs.example.com/guangzhou/900058.html,10-22K,示例科技04有限公司,上市公司,500-1000人,金融科技,2026-06-03 19:00:00
广州,爬虫工程师-068,https://jobs.example.com/guangzhou/900068.html,12-22K,示例科技14有限公司,民营,50-150人,金融科技,2026-06-04 05:00:00
广州,招聘运营专员-078,https://jobs.example.com/guangzhou/900078.html,14-22K,示例科技06有限公司,上市公司,500-1000人,金融科技,2026-06-04 15:00:00
广州,数据分析师-098,https://jobs.example.com/guangzhou/900098.html,10-22K,示例科技08有限公司,上市公司,500-1000人,金融科技,2026-06-05 11:00:00
成都,BI分析师-004,https://jobs.example.com/chengdu/900004.html,12-18K,示例科技04有限公司,民营,50-150人,教育科技,2026-06-01 13:00:00
成都,数据分析师-014,https://jobs.example.com/chengdu/900014.html,14-18K,示例科技14有限公司,上市公司,500-1000人,教育科技,2026-06-01 23:00:00
成都,HR数据顾问-034,https://jobs.example.com/chengdu/900034.html,10-18K,示例科技16有限公司,上市公司,500-1000人,教育科技,2026-06-02 19:00:00
成都,Python工程师-044,https://jobs.example.com/chengdu/900044.html,12-18K,示例科技08有限公司,民营,50-150人,教育科技,2026-06-03 05:00:00
成都,爬虫工程师-054,https://jobs.example.com/chengdu/900054.html,14-18K,示例科技00有限公司,上市公司,500-1000人,教育科技,2026-06-03 15:00:00
成都,招聘运营专员-064,https://jobs.example.com/chengdu/900064.html,8-18K,示例科技10有限公司,民营,50-150人,教育科技,2026-06-04 01:00:00
成都,数据分析师-084,https://jobs.example.com/chengdu/900084.html,12-18K,示例科技12有限公司,民营,50-150人,教育科技,2026-06-04 21:00:00
成都,数据清洗工程师-094,https://jobs.example.com/chengdu/900094.html,14-18K,示例科技04有限公司,上市公司,500-1000人,教育科技,2026-06-05 07:00:00
杭州,数据清洗工程师-003,https://jobs.example.com/hangzhou/900003.html,11-17K,示例科技03有限公司,外企,1000人以上,金融科技,2026-06-01 12:00:00
杭州,HR数据顾问-013,https://jobs.example.com/hangzhou/900013.html,13-17K,示例科技13有限公司,合资,150-500人,金融科技,2026-06-01 22:00:00
杭州,Python工程师-023,https://jobs.example.com/hangzhou/900023.html,15-17K,示例科技05有限公司,外企,1000人以上,金融科技,2026-06-02 08:00:00
杭州,爬虫工程师-033,https://jobs.example.com/hangzhou/900033.html,9-17K,示例科技15有限公司,合资,150-500人,金融科技,2026-06-02 18:00:00
杭州,招聘运营专员-043,https://jobs.example.com/hangzhou/900043.html,11-17K,示例科技07有限公司,外企,1000人以上,金融科技,2026-06-03 04:00:00
杭州,BI分析师-053,https://jobs.example.com/hangzhou/900053.html,13-17K,示例科技17有限公司,合资,150-500人,金融科技,2026-06-03 14:00:00
杭州,数据分析师-063,https://jobs.example.com/hangzhou/900063.html,15-17K,示例科技09有限公司,外企,1000人以上,金融科技,2026-06-04 00:00:00
杭州,数据清洗工程师-073,https://jobs.example.com/hangzhou/900073.html,9-17K,示例科技01有限公司,合资,150-500人,金融科技,2026-06-04 10:00:00
杭州,HR数据顾问-083,https://jobs.example.com/hangzhou/900083.html,11-17K,示例科技11有限公司,外企,1000人以上,金融科技,2026-06-04 20:00:00
杭州,Python工程师-093,https://jobs.example.com/hangzhou/900093.html,13-17K,示例科技03有限公司,合资,150-500人,金融科技,2026-06-05 06:00:00
杭州,爬虫工程师-103,https://jobs.example.com/hangzhou/900103.html,15-17K,示例科技13有限公司,外企,1000人以上,金融科技,2026-06-05 16:00:00
武汉,HR数据顾问-006,https://jobs.example.com/wuhan/900006.html,14-20K,示例科技06有限公司,上市公司,500-1000人,企业服务,2026-06-01 15:00:00
武汉,Python工程师-016,https://jobs.example.com/wuhan/900016.html,8-20K,示例科技16有限公司,民营,50-150人,企业服务,2026-06-02 01:00:00
武汉,爬虫工程师-026,https://jobs.example.com/wuhan/900026.html,10-20K,示例科技08有限公司,上市公司,500-1000人,企业服务,2026-06-02 11:00:00
武汉,招聘运营专员-036,https://jobs.example.com/wuhan/900036.html,12-20K,示例科技00有限公司,民营,50-150人,企业服务,2026-06-02 21:00:00
武汉,BI分析师-046,https://jobs.example.com/wuhan/900046.html,14-20K,示例科技10有限公司,上市公司,500-1000人,企业服务,2026-06-03 07:00:00
武汉,数据分析师-056,https://jobs.example.com/wuhan/900056.html,8-20K,示例科技02有限公司,民营,50-150人,企业服务,2026-06-03 17:00:00
武汉,数据清洗工程师-066,https://jobs.example.com/wuhan/900066.html,10-20K,示例科技12有限公司,上市公司,500-1000人,企业服务,2026-06-04 03:00:00
武汉,HR数据顾问-076,https://jobs.example.com/wuhan/900076.html,12-20K,示例科技04有限公司,民营,50-150人,企业服务,2026-06-04 13:00:00
武汉,Python工程师-086,https://jobs.example.com/wuhan/900086.html,14-20K,示例科技14有限公司,上市公司,500-1000人,企业服务,2026-06-04 23:00:00
武汉,爬虫工程师-096,https://jobs.example.com/wuhan/900096.html,8-20K,示例科技06有限公司,民营,50-150人,企业服务,2026-06-05 09:00:00
深圳,Python工程师-002,https://jobs.example.com/shenzhen/900002.html,10-16K,示例科技02有限公司,上市公司,500-1000人,智能制造,2026-06-01 11:00:00
深圳,爬虫工程师-012,https://jobs.example.com/shenzhen/900012.html,12-16K,示例科技12有限公司,民营,50-150人,智能制造,2026-06-01 21:00:00
深圳,招聘运营专员-022,https://jobs.example.com/shenzhen/900022.html,14-16K,示例科技04有限公司,上市公司,500-1000人,智能制造,2026-06-02 07:00:00
深圳,BI分析师-032,https://jobs.example.com/shenzhen/900032.html,8-16K,示例科技14有限公司,民营,50-150人,智能制造,2026-06-02 17:00:00
深圳,数据分析师-042,https://jobs.example.com/shenzhen/900042.html,10-16K,示例科技06有限公司,上市公司,500-1000人,智能制造,2026-06-03 03:00:00
深圳,数据清洗工程师-052,https://jobs.example.com/shenzhen/900052.html,12-16K,示例科技16有限公司,民营,50-150人,智能制造,2026-06-03 13:00:00
深圳,HR数据顾问-062,https://jobs.example.com/shenzhen/900062.html,14-16K,示例科技08有限公司,上市公司,500-1000人,智能制造,2026-06-03 23:00:00
深圳,Python工程师-072,https://jobs.example.com/shenzhen/900072.html,8-16K,示例科技00有限公司,民营,50-150人,智能制造,2026-06-04 09:00:00
深圳,爬虫工程师-082,https://jobs.example.com/shenzhen/900082.html,10-16K,示例科技10有限公司,上市公司,500-1000人,智能制造,2026-06-04 19:00:00
深圳,招聘运营专员-092,https://jobs.example.com/shenzhen/900092.html,12-16K,示例科技02有限公司,民营,50-150人,智能制造,2026-06-05 05:00:00
深圳,BI分析师-102,https://jobs.example.com/shenzhen/900102.html,14-16K,示例科技12有限公司,上市公司,500-1000人,智能制造,2026-06-05 15:00:00
苏州,数据分析师-007,https://jobs.example.com/suzhou/900007.html,15-21K,示例科技07有限公司,外企,1000人以上,智能制造,2026-06-01 16:00:00
苏州,HR数据顾问-027,https://jobs.example.com/suzhou/900027.html,11-21K,示例科技09有限公司,外企,1000人以上,智能制造,2026-06-02 12:00:00
苏州,Python工程师-037,https://jobs.example.com/suzhou/900037.html,13-21K,示例科技01有限公司,合资,150-500人,智能制造,2026-06-02 22:00:00
苏州,爬虫工程师-047,https://jobs.example.com/suzhou/900047.html,15-21K,示例科技11有限公司,外企,1000人以上,智能制造,2026-06-03 08:00:00
苏州,招聘运营专员-057,https://jobs.example.com/suzhou/900057.html,9-21K,示例科技03有限公司,合资,150-500人,智能制造,2026-06-03 18:00:00
苏州,BI分析师-067,https://jobs.example.com/suzhou/900067.html,11-21K,示例科技13有限公司,外企,1000人以上,智能制造,2026-06-04 04:00:00
苏州,数据分析师-077,https://jobs.example.com/suzhou/900077.html,13-21K,示例科技05有限公司,合资,150-500人,智能制造,2026-06-04 14:00:00
苏州,数据清洗工程师-087,https://jobs.example.com/suzhou/900087.html,15-21K,示例科技15有限公司,外企,1000人以上,智能制造,2026-06-05 00:00:00
苏州,HR数据顾问-097,https://jobs.example.com/suzhou/900097.html,9-21K,示例科技07有限公司,合资,150-500人,智能制造,2026-06-05 10:00:00
